"activity","subjectid","signaldomain","accelerationtype","method","measure","dimension","isjerk","ismagnitude","avg"
"standing","1","f","body","acc","mean","x",FALSE,FALSE,-0.995249932641509
"standing","1","f","body","acc","mean","x",TRUE,FALSE,-0.994630797358491
"standing","1","f","body","acc","mean","y",FALSE,FALSE,-0.977070847735849
"standing","1","f","body","acc","mean","y",TRUE,FALSE,-0.985418704528302
"standing","1","f","body","acc","mean","z",FALSE,FALSE,-0.985297098679245
"standing","1","f","body","acc","mean","z",TRUE,FALSE,-0.990752166037736
"standing","1","f","body","acc","mean","NA",FALSE,TRUE,-0.985356361132075
"standing","1","f","body","acc","mean","NA",TRUE,TRUE,-0.99254247754717
"standing","1","f","body","acc","std","x",FALSE,FALSE,-0.99602834509434
"standing","1","f","body","acc","std","x",TRUE,FALSE,-0.995073759245283
"standing","1","f","body","acc","std","y",FALSE,FALSE,-0.972293102075472
"standing","1","f","body","acc","std","y",TRUE,FALSE,-0.987018226792453
"standing","1","f","body","acc","std","z",FALSE,FALSE,-0.977937259622642
"standing","1","f","body","acc","std","z",TRUE,FALSE,-0.992349818113208
"standing","1","f","body","acc","std","NA",FALSE,TRUE,-0.982313804716981
"standing","1","f","body","acc","std","NA",TRUE,TRUE,-0.992536003396226
"standing","1","f","body","gyro","mean","x",FALSE,FALSE,-0.986386786037736
"standing","1","f","body","gyro","mean","y",FALSE,FALSE,-0.988984455849057
"standing","1","f","body","gyro","mean","z",FALSE,FALSE,-0.980773122830189
"standing","1","f","body","gyro","mean","NA",FALSE,TRUE,-0.984617623396226
"standing","1","f","body","gyro","mean","NA",TRUE,TRUE,-0.994815376981132
"standing","1","f","body","gyro","std","x",FALSE,FALSE,-0.987497128679245
"standing","1","f","body","gyro","std","y",FALSE,FALSE,-0.987107727735849
"standing","1","f","body","gyro","std","z",FALSE,FALSE,-0.98234533
"standing","1","f","body","gyro","std","NA",FALSE,TRUE,-0.978466072075472
"standing","1","f","body","gyro","std","NA",TRUE,TRUE,-0.994671123207547
"standing","1","t","body","acc","mean","x",FALSE,FALSE,0.278917629056604
"standing","1","t","body","acc","mean","x",TRUE,FALSE,0.0753766542264151
"standing","1","t","body","acc","mean","y",FALSE,FALSE,-0.0161375901037736
"standing","1","t","body","acc","mean","y",TRUE,FALSE,0.00797573092830189
"standing","1","t","body","acc","mean","z",FALSE,FALSE,-0.110601817735849
"standing","1","t","body","acc","mean","z",TRUE,FALSE,-0.00368524954709434
"standing","1","t","body","acc","mean","NA",FALSE,TRUE,-0.984278207358491
"standing","1","t","body","acc","mean","NA",TRUE,TRUE,-0.992367790566038
"standing","1","t","body","acc","std","x",FALSE,FALSE,-0.995759901509434
"standing","1","t","body","acc","std","x",TRUE,FALSE,-0.994604542264151
"standing","1","t","body","acc","std","y",FALSE,FALSE,-0.973190056415094
"standing","1","t","body","acc","std","y",TRUE,FALSE,-0.98564873245283
"standing","1","t","body","acc","std","z",FALSE,FALSE,-0.979775876981132
"standing","1","t","body","acc","std","z",TRUE,FALSE,-0.992251177358491
"standing","1","t","body","acc","std","NA",FALSE,TRUE,-0.981942928867925
"standing","1","t","body","acc","std","NA",TRUE,TRUE,-0.993096209433962
"standing","1","t","body","gyro","mean","x",FALSE,FALSE,-0.0239877347979245
"standing","1","t","body","gyro","mean","x",TRUE,FALSE,-0.0996092129056604
"standing","1","t","body","gyro","mean","y",FALSE,FALSE,-0.0593972209811321
"standing","1","t","body","gyro","mean","y",TRUE,FALSE,-0.0440627877924528
"standing","1","t","body","gyro","mean","z",FALSE,FALSE,0.074800751
"standing","1","t","body","gyro","mean","z",TRUE,FALSE,-0.0489505466716981
"standing","1","t","body","gyro","mean","NA",FALSE,TRUE,-0.976493792830189
"standing","1","t","body","gyro","mean","NA",TRUE,TRUE,-0.994966790566038
"standing","1","t","body","gyro","std","x",FALSE,FALSE,-0.987191946603774
"standing","1","t","body","gyro","std","x",TRUE,FALSE,-0.992945106981132
